nome_pais,countryname
AFEGANISTÃO,Afghanistan
ACROTÍRI E DECELIA,Akrotiri E Dekélia
ÁFRICA DO SUL,South Africa
ALBÂNIA,Albania
ALEMANHA,Germany
AMERICAN SAMOA,American Samoa
ANDORRA,Andorra
ANGOLA,Angola
ANGUILLA,Anguilla
ANTÍGUA E BARBUDA,Antigua And Barbuda
ANTILHAS NEERLANDESAS,Netherlands Antilles
ARÁBIA SAUDITA,Saudi Arabia
ARGÉLIA,Algeria
ARGENTINA,Argentina
ARMÉNIA,Armenia
ARUBA,Aruba
AUSTRÁLIA,Australia
ÁUSTRIA,Austria
AZERBAIJÃO,Azerbaijan
BAHAMAS,Bahamas:The
BANGLADECHE,Bangladesh
BARBADOS,Barbados
BARÉM,Bahrain
BASSAS DA ÍNDIA,Bassas Da India
BÉLGICA,Belgium
BELIZE,Belize
BENIM,Benin
BERMUDAS,Bermuda
BIELORRÚSSIA,Belarus
BOLÍVIA,Bolivia
BÓSNIA E HERZEGOVINA,Bosnia And Herzegovina
BOTSUANA,Botswana
BRASIL,Brazil
BRUNEI DARUSSALAM,Brunei Darussalam
BULGÁRIA,Bulgaria
BURQUINA FASO,Burkina Faso
BURUNDI,Burundi
BUTÃO,Bhutan
CABO VERDE,Cape Verde
CAMARÕES,Cameroon
CAMBOJA,Cambodia
CANADÁ,Canada
CATAR,Qatar
CAZAQUISTÃO,Kazakhstan
CENTRO-AFRICANA REPÚBLICA,Central African Republic
CHADE,Chad
CHILE,Chile
CHINA,China
CHIPRE,Cyprus
COLÔMBIA,Colombia
COMORES,Comoros
CONGO,Congo
CONGO REPÚBLICA DEMOCRÁTICA,Congo Democratic Republic
COREIA DO NORTE,Korea North
COREIA DO SUL,Korea South
COSTA DO MARFIM,Ivory Coast
COSTA RICA,Costa Rica
CROÁCIA,Croatia
CUBA,Cuba
DINAMARCA,Denmark
DOMÍNICA,Dominica
EGIPTO,Egypt
EMIRADOS ÁRABES UNIDOS,United Arab Emirates
EQUADOR,Ecuador
ERITREIA,Eritrea
ESLOVÁQUIA,Slovakia
ESLOVÉNIA,Slovenia
ESPANHA,Spain
ESTADOS UNIDOS,United States
ESTÓNIA,Estonia
ETIÓPIA,Ethiopia
FAIXA DE GAZA,Gaza Strip
FIJI,Fiji
